15,18,20,28,29,40,47,38
2,9,10,15,29,44,48,22
2,7,14,16,22,27,47,25
8,11,12,25,28,30,33,16
8,21,28,32,33,34,48,38
5,9,19,20,21,28,30,36
7,12,14,18,30,45,47,20
7,8,14,32,38,42,44,30
6,19,24,25,26,35,36,23
1,13,20,24,39,45,47,25
7,19,34,35,38,42,46,11
3,12,14,15,25,32,49,37
13,18,25,41,44,48,49,1
5,6,11,12,24,26,34,49
1,4,22,25,26,36,46,5
2,5,10,21,25,35,49,40
2,3,4,20,22,40,43,9
3,18,27,29,32,33,35,47
3,14,19,30,32,39,46,8
3,7,12,16,20,42,48,31
4,6,13,19,26,29,47,43
1,3,13,18,19,39,48,40
7,10,14,20,21,23,31,41
2,18,19,29,42,47,49,17
2,6,10,12,24,30,37,3
2,10,13,15,23,28,49,40
2,7,10,22,32,34,38,1
8,23,25,26,33,41,43,21
1,16,28,29,33,37,47,24
7,9,12,20,28,38,44,10
1,10,13,26,43,46,49,31
12,21,23,27,28,29,37,9
4,13,25,29,36,40,48,24
13,15,17,18,19,47,49,38
7,10,24,30,35,36,39,3
2,6,21,26,28,33,47,11
12,15,19,20,28,29,39,14
3,14,17,25,30,33,39,7
3,4,5,8,13,22,33,32
10,12,13,25,28,29,41,39
9,22,25,30,31,39,42,19
2,5,6,43,46,47,48,39
4,17,27,32,34,39,47,13
12,17,27,28,31,36,48,37
3,14,26,27,29,32,34,1
4,5,7,8,18,30,35,39
19,25,27,29,30,36,46,15
1,5,6,32,36,38,44,29
5,7,11,40,41,47,48,6
17,19,26,29,34,35,38,47
10,14,26,34,43,47,48,28
9,10,19,24,28,30,31,46
9,19,25,26,29,30,44,33
5,22,28,31,39,46,48,4
5,6,26,29,34,36,43,49
2,7,12,25,29,32,35,26
3,18,27,30,33,40,45,31
11,18,23,24,27,28,39,1
14,16,30,35,36,45,49,10
7,17,19,23,31,36,41,1
3,6,10,14,19,25,33,1
1,3,4,5,16,32,33,41
8,11,16,21,24,28,41,37
6,7,17,20,32,44,49,46
11,16,29,30,31,33,42,24
4,9,12,15,28,29,43,17
3,11,12,16,34,36,37,18
1,3,6,34,37,42,45,27
17,18,19,21,32,40,49,6
5,8,18,22,32,39,45,19
2,27,30,32,35,36,38,39
4,23,27,32,35,43,47,24
9,12,17,23,34,42,47,37
10,19,25,29,39,41,42,21
16,17,22,24,40,41,47,45
17,26,30,32,34,39,41,49
12,17,22,30,34,43,49,48
8,17,21,23,24,28,39,31
7,9,13,18,27,33,44,15
8,9,12,13,29,30,31,47
8,10,15,17,33,34,35,13
1,4,5,7,22,29,48,13
1,6,13,19,32,35,40,7
11,15,24,26,37,38,43,17
2,8,28,30,36,39,42,24
8,18,27,28,38,41,48,36
2,7,8,11,16,17,18,12
