11, 12, 14, 24, 28, 40, 48
5, 26, 29, 33, 37, 42, 46
7, 8, 12, 15, 27, 38, 46
3, 4, 10, 13, 31, 36, 42
3, 22, 23, 36, 37, 39, 43
2, 12, 15, 30, 39, 43, 48
4, 11, 20, 24, 26, 33, 36
3, 20, 21, 25, 29, 35, 36
7, 14, 17, 23, 24, 30, 31
1, 18, 25, 29, 32, 45, 48
3, 4, 25, 26, 28, 30, 35
14, 15, 26, 28, 31, 35, 43
5, 7, 19, 22, 32, 36, 39
6, 8, 23, 31, 39, 40, 45
1, 22, 26, 27, 39, 45, 46
1, 2, 19, 23, 27, 30, 37
6, 11, 17, 22, 32, 38, 39
18, 22, 23, 26, 28, 36, 39
15, 23, 30, 31, 38, 41, 43
2, 9, 12, 24, 32, 36, 41
5, 6, 14, 15, 24, 32, 47
9, 17, 20, 28, 31, 41, 42
24, 25, 31, 32, 33, 42, 47
3, 10, 23, 25, 26, 39, 44
4, 27, 31, 37, 43, 47, 48
18, 28, 32, 34, 37, 39, 44
3, 4, 5, 11, 25, 32, 45
5, 14, 22, 28, 34, 36, 43
14, 20, 30, 32, 37, 38, 44
3, 10, 15, 16, 31, 36, 41
1, 8, 12, 15, 34, 38, 45
1, 4, 5, 16, 20, 29, 33
2, 12, 16, 21, 26, 32, 45
5, 12, 21, 23, 34, 35, 38
10, 20, 22, 36, 39, 42, 44
13, 34, 37, 39, 40, 45, 46
7, 11, 17, 20, 25, 35, 43
4, 15, 17, 22, 29, 34, 38
11, 13, 18, 29, 36, 42, 43
17, 24, 30, 37, 40, 47, 48
3, 5, 15, 19, 25, 37, 42
12, 18, 19, 28, 37, 38, 43
13, 21, 22, 31, 34, 37, 38
2, 13, 19, 26, 28, 39, 43
9, 11, 15, 21, 23, 24, 41
4, 12, 24, 34, 44, 45, 48
4, 9, 20, 21, 25, 29, 44
9, 17, 27, 33, 36, 44, 47
5, 10, 11, 12, 20, 25, 38
9, 28, 36, 38, 39, 41, 48
6, 16, 19, 21, 28, 29, 32
6, 11, 25, 28, 31, 33, 34
21, 22, 24, 29, 34, 35, 40
2, 3, 10, 14, 25, 36, 47
8, 15, 18, 21, 29, 43, 46
15, 16, 25, 29, 33, 39, 45
3, 10, 18, 20, 23, 32, 48
5, 6, 15, 22, 33, 35, 44
3, 12, 17, 21, 25, 44, 47
2, 13, 16, 20, 21, 27, 36
9, 10, 16, 18, 20, 22, 24
8, 9, 23, 25, 29, 35, 45
1, 5, 9, 20, 23, 31, 35
2, 11, 14, 18, 23, 27, 34
6, 21, 25, 33, 37, 43, 48
3, 12, 18, 21, 26, 41, 47
6, 27, 28, 36, 37, 41, 44
14, 21, 29, 31, 41, 46, 47
2, 10, 11, 16, 17, 18, 39
15, 17, 25, 30, 36, 43, 47
3, 6, 10, 23, 30, 43, 48
10, 15, 16, 25, 26, 41, 48
5, 6, 7, 8, 26, 44, 48
11, 16, 21, 23, 34, 40, 47
11, 16, 29, 34, 36, 37, 40
5, 19, 22, 27, 33, 34, 36
14, 18, 32, 36, 38, 46, 47
6, 10, 16, 26, 28, 43, 48
10, 21, 23, 28, 37, 47, 48
5, 19, 27, 31, 36, 43, 44
8, 10, 19, 23, 24, 33, 38
6, 15, 16, 21, 30, 34, 39
2, 5, 7, 13, 21, 26, 40
4, 9, 10, 12, 15, 20, 24
7, 15, 23, 29, 36, 40, 46
4, 8, 10, 18, 19, 32, 40
2, 7, 9, 20, 21, 28, 39
8, 9, 10, 20, 30, 33, 46
9, 15, 16, 37, 40, 44, 46
3, 4, 9, 20, 24, 28, 41
15, 24, 39, 42, 45, 46, 48
8, 15, 21, 38, 39, 41, 42
2, 12, 16, 26, 27, 28, 34
1, 9, 26, 30, 35, 42, 46
2, 6, 11, 14, 18, 30, 33
8, 9, 17, 29, 31, 38, 46
16, 17, 26, 29, 34, 39, 44
1, 10, 11, 14, 30, 42, 46
2, 3, 8, 9, 10, 21, 29
4, 20, 21, 30, 32, 38, 46
