2, 5, 10, 18, 28, 45, 46
6, 7, 10, 11, 31, 33, 48
2, 5, 13, 23, 24, 27, 37
4, 7, 20, 27, 30, 46, 48
6, 10, 19, 22, 23, 31, 38
13, 17, 20, 29, 30, 37, 44
7, 10, 11, 22, 23, 33, 37
5, 21, 22, 28, 34, 41, 47
4, 13, 18, 23, 24, 35, 38
7, 8, 27, 38, 40, 42, 43
3, 9, 10, 15, 17, 22, 45
4, 6, 8, 9, 24, 31, 47
2, 4, 7, 10, 19, 20, 44
9, 12, 14, 33, 36, 44, 46
1, 2, 12, 26, 37, 42, 47
2, 6, 12, 26, 30, 44, 47
5, 9, 22, 26, 27, 39, 45
4, 6, 12, 19, 20, 37, 46
7, 10, 13, 14, 22, 44, 45
10, 15, 19, 25, 32, 39, 43
4, 5, 6, 14, 25, 32, 47
15, 16, 19, 29, 30, 42, 46
6, 14, 23, 31, 42, 44, 45
7, 14, 15, 26, 30, 36, 40
2, 3, 25, 32, 39, 46, 47
1, 16, 23, 35, 39, 45, 46
1, 11, 17, 35, 37, 39, 43
15, 21, 26, 32, 38, 43, 48
1, 2, 7, 23, 31, 38, 47
4, 5, 10, 25, 30, 37, 39
1, 3, 9, 17, 27, 34, 35
6, 10, 16, 17, 19, 22, 36
7, 12, 24, 29, 33, 38, 48
9, 11, 14, 22, 31, 38, 43
4, 6, 8, 27, 28, 44, 48
10, 12, 15, 41, 45, 47, 48
5, 6, 21, 22, 35, 41, 46
3, 4, 13, 24, 31, 36, 39
3, 6, 7, 14, 20, 33, 42
1, 8, 15, 17, 33, 41, 44
6, 15, 17, 25, 34, 41, 42
5, 8, 11, 28, 33, 37, 43
8, 11, 17, 18, 23, 32, 44
2, 3, 8, 14, 26, 31, 43
1, 16, 18, 21, 23, 38, 43
6, 9, 11, 22, 28, 32, 47
3, 13, 27, 29, 32, 35, 46
4, 10, 20, 26, 35, 44, 48
6, 12, 16, 26, 27, 33, 36
2, 7, 11, 19, 21, 24, 33
4, 23, 31, 34, 36, 37, 39
2, 9, 14, 28, 29, 31, 38
3, 5, 25, 28, 30, 33, 41
8, 10, 19, 23, 32, 44, 48
2, 19, 21, 43, 44, 45, 46
